Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Young Thug ,Tick Tock,7,0,48,0,482709,2353323,2020/9/24,atl hip hop,Hip Hop
Bad Bunny ,BAD CON NICKY,7,0,33,0,517262,2352805,2020/5/10,reggaeton,Latin
Meek Mill ,24-Jul,7,0,84,0,424880,2350070,2023/7/6,hip hop,Hip Hop
Tory Lanez ,Do The Most,9,0,77,0,361570,2347122,2020/4/10,canadian hip hop,Hip Hop
$NOT ,Whipski,8,0,67,0,454100,2345511,2021/4/8,aesthetic rap,Hip Hop
Bad Bunny ,Puesto Pa' Guerrial,6,0,54,0,564185,2344306,2020/2/29,reggaeton,Latin
Bruno Mars ,Chunky,13,0,68,0,256297,2341807,2016/11/17,dance pop,Pop
Russ ,Missin You Crazy,8,0,47,0,546296,2339895,2018/9/7,hawaiian hip hop,Hip Hop
Dominic Fike ,Elliot's Song,7,0,34,0,468214,2337458,2022/3/4,alternative pop rock,Rock
Bad Bunny ,SORRY PAPI,6,0,28,0,619994,2334819,2020/11/27,reggaeton,Latin
Juice WRLD ,ON GOD,7,0,47,0,622409,2334420,2019/3/8,chicago rap,Hip Hop
Taylor Swift ,Style,10,0,118,0,325173,2333716,2023/10/26,pop,Pop
Chance the Rapper ,Ballin Flossin,7,0,45,0,505467,2332832,2019/7/26,chicago rap,Hip Hop
Gucci Mane ,BiPolar,7,0,68,0,494352,2331992,2023/9/7,atl hip hop,Hip Hop
"Tyler, The Creator ",MOMMA TALK,5,0,26,0,956744,2331600,2021/6/25,hip hop,Hip Hop
21 Savage ,Still Serving,8,0,54,0,448269,2327645,2017/10/30,atl hip hop,Hip Hop
Logic ,Soul Food II,6,0,34,0,768779,2327605,2020/7/24,conscious hip hop,Hip Hop
Jack Harlow ,Like A Blade Of Grass,6,0,43,0,689071,2327461,2024/4/4,deep underground hip hop,Hip Hop
Amy Grant ,White Christmas,7,0,78,0,558454,2326072,1945/1/1,christian music,Pop
Ski Mask The Slump God ,LA LA,7,0,58,0,562102,2325208,2018/11/30,hip hop,Hip Hop
Lil Baby ,Get Ugly,6,0,22,0,824957,2324860,2015/5/29,atl hip hop,Hip Hop
Nicki Minaj ,Majesty,7,0,55,0,450212,2323637,2018/8/10,hip pop,Pop
DaBaby ,DROP,6,0,18,0,840858,2322508,2023/9/8,hip hop,Hip Hop
"Tyler, The Creator ",BLESSED,5,0,28,0,927988,2319891,2021/6/25,hip hop,Hip Hop
Diplo ,Wish  Trippie Mix,7,0,47,0,574320,2318226,2018/8/10,dance pop,Pop
Jay Rock ,WIN,10,0,107,0,328084,2315258,2018/6/15,conscious hip hop,Hip Hop
Trippie Redd ,Big 14,7,0,31,0,493799,2310450,2022/8/5,melodic rap,Hip Hop
Gunna ,Same Yung Nigga,7,0,66,0,490968,2307203,2019/2/22,atl hip hop,Hip Hop
Ed Sheeran ,Feels,7,0,45,0,523663,2306245,2017/6/30,pop,Pop
One Direction ,Stockholm Syndrome,30,0,52,0,135845,2304134,2003/11/1,boy band,Pop
Future ,Red Bentley,6,0,27,0,819089,2303841,2018/10/19,atl hip hop,Hip Hop
Bad Bunny ,200 Mph,9,0,78,0,393302,2303769,2018/12/23,reggaeton,Latin
Eminem ,Bad Husband,7,0,43,0,545456,2302994,2017/12/15,detroit hip hop,Hip Hop
Khalid ,Heaven,7,0,70,0,504589,2301125,2001/10/29,pop,Pop
A Boogie Wit da Hoodie ,24 Hours,8,0,67,0,448552,2300664,2021/5/21,melodic rap,Hip Hop
Tory Lanez ,MiAMi,7,0,54,0,509018,2300479,2023/6/12,canadian hip hop,Hip Hop
Reik ,Me Niego,12,0,168,0,209589,2300387,2019/5/31,latin arena pop,Pop
SZA ,Broken Clocks,10,0,146,0,338845,2299409,2017/6/9,pop,Pop
Tame Impala ,One More Year,6,0,34,0,735085,2297908,2020/2/14,australian psych,Metal
Labrinth ,Jealous,35,0,123,0,76744,2297749,2021/5/21,indie poptimism,Pop
Yandel ,CANCIÓN CON YANDEL,7,0,35,0,512050,2297222,2020/5/10,latin hip hop,Hip Hop
Summer Walker ,Stretch You Out,8,0,71,0,398857,2296632,2019/10/4,r&b,R&B
Thomas Rhett ,Center Point Road,9,0,125,0,308261,2295822,2019/5/31,contemporary country,Country
Migos ,Danger,11,0,80,0,353288,2295166,2023/6/25,atl hip hop,Hip Hop
Jonas Brothers ,I Need You Christmas,6,0,92,0,606466,2293133,2024/4/12,boy band,Pop
Beyoncé ,ENERGY,2,2,8,0,1339948,2290766,2022/7/29,pop,Pop
Young Thug ,Sup Mate,7,0,29,0,594027,2287671,2019/8/16,atl hip hop,Hip Hop
Bo Burnham ,That Funny Feeling,9,0,105,0,337112,2285474,2021/6/10,comic,Hip Hop
Lil Yachty ,Split/Whole Time,8,0,54,0,484257,2284053,2020/5/29,atl hip hop,Hip Hop
Bad Bunny ,ANTES QUE SE ACABE,6,0,29,0,619614,2283787,2020/11/27,reggaeton,Latin
Jack Harlow ,Talk Of The Town,5,0,34,0,921056,2280137,2024/4/11,deep underground hip hop,Hip Hop
Tame Impala ,Posthumous Forgiveness,7,0,64,0,539226,2279641,2020/2/14,australian psych,Metal
Drake ,Dreams Money Can Buy,5,1,9,0,949340,2279028,2019/8/2,canadian hip hop,Hip Hop
Big Sean ,ZTFO,7,0,35,0,536519,2278265,2020/9/4,detroit hip hop,Hip Hop
Lil Baby ,Crush A Lot,6,0,32,0,701396,2278161,2018/11/30,atl hip hop,Hip Hop
21 Savage ,Close My Eyes,9,0,58,0,377608,2277314,2018/3/16,atl hip hop,Hip Hop
Twenty One Pilots ,The Hype,7,0,74,0,501969,2276366,2018/10/5,modern rock,Rock
Future ,Might as Well,9,0,66,0,353664,2275343,2015/5/4,atl hip hop,Hip Hop
Rich The Kid ,Too Gone,8,0,47,0,497184,2274674,2024/3/15,atl hip hop,Hip Hop
Jhay Cortez ,Como Se Siente  Remix,7,0,38,0,491604,2271547,2020/5/9,reggaeton,Latin
Polo G ,Beautiful Pain (Losin My Mind),7,0,51,0,513392,2271017,2020/5/15,chicago rap,Hip Hop
Lizzo ,Boys,10,0,177,0,260126,2269128,2019/4/17,escape room,Pop
Kevin Gates ,Change Lanes,8,0,80,0,356683,2266615,2018/5/16,baton rouge rap,Hip Hop
Pop Smoke ,Coupe,6,0,25,0,693337,2266549,2022/3/4,brooklyn drill,Hip Hop
Juice WRLD ,Out My Way,7,0,60,0,543547,2265849,2019/3/8,chicago rap,Hip Hop
Ty Dolla $ign ,Darkside,11,0,87,0,310534,2265762,2021/8/20,hip hop,Hip Hop
Migos ,Beast,7,0,42,0,631531,2263419,2015/4/7,atl hip hop,Hip Hop
NAV ,Call Me,12,0,144,0,248629,2262934,2004/1/1,canadian hip hop,Hip Hop
Metro Boomin ,Only You,7,0,42,0,585715,2262255,1986/1/1,hip hop,Hip Hop
Bad Bunny ,120,6,0,31,0,610184,2258968,2020/11/27,reggaeton,Latin
Lil Baby ,Still Runnin,7,0,46,0,508237,2248336,2021/6/4,atl hip hop,Hip Hop
Miley Cyrus ,Unholy,7,0,45,0,533657,2248244,2022/9/22,pop,Pop
Chris Rea ,Driving Home for Christmas,6,0,64,0,553435,2247458,2024/4/12,soft rock,Rock
Megan Thee Stallion ,Diamonds,7,0,79,0,416233,2243910,2012/1/1,houston rap,Hip Hop
Big Sean ,Same Time Pt. 1,8,0,45,0,443376,2243786,2017/2/3,detroit hip hop,Hip Hop
GASHI ,Creep On Me,10,0,155,0,242293,2241270,2018/8/22,canadian hip hop,Hip Hop
Lil Skies ,Nowadays Pt. 2,7,0,57,0,517175,2240811,2019/3/1,melodic rap,Hip Hop
Lil Yachty ,BOOM!,7,0,38,0,592965,2239236,2018/3/9,atl hip hop,Hip Hop
Joji ,BLAHBLAHBLAH DEMO,5,0,52,0,684650,2239198,2022/11/4,viral pop,Pop
Of Monsters and Men ,Little Talks,40,0,152,0,77958,2237814,2012/1/1,folk-pop,Pop
Khalid ,American Teen,13,0,152,0,194483,2236319,2017/4/27,pop,Pop
Lil Nas X ,Rodeo,8,0,82,0,409900,2234112,2023/2/24,lgbtq+ hip hop,Hip Hop
Meek Mill ,Trauma,6,0,60,0,558838,2233267,2019/7/26,hip hop,Hip Hop
Future ,Marni On Me,6,0,11,0,834549,2231694,2020/11/13,atl hip hop,Hip Hop
Young Thug ,Memo,19,0,150,0,137046,2230744,2021/6/11,atl hip hop,Hip Hop
Ava Max ,Christmas Without You,5,0,100,0,584297,2229399,2020/10/15,pop,Pop
Mariah Carey ,Oh Santa!,5,0,95,0,632316,2227246,2010/11/2,dance pop,Pop
Alessia Cara ,Seventeen,22,0,89,0,133354,2226734,2009/7/15,canadian contemporary r&b,R&B
Dua Lipa ,Levitating,7,0,48,0,458751,2225826,2020/3/27,dance pop,Pop
The Backyardigans ,Castaways,9,0,98,0,273526,2224490,2005/7/12,cartoon,Easy listening
Tate McRae ,uh oh,7,0,42,0,464994,2222613,2022/9/30,pop,Pop
Taylor Swift ,The Best Day (Taylor’s Version),5,0,27,0,880477,2221246,2021/4/9,pop,Pop
LISA ,LALISA,9,0,84,0,374002,2220978,2021/9/10,k-pop,Pop
J. Cole ,Power Trip,38,0,163,0,67741,2220286,2013/6/18,conscious hip hop,Hip Hop
Future ,You Da Baddest,10,0,85,0,288365,2215895,2017/7/27,atl hip hop,Hip Hop
Charlie Puth ,That's Hilarious,7,0,29,0,466612,2215746,2022/10/7,pop,Pop
Foster The People ,Sit Next to Me  Stereotypes Remix,11,0,168,0,218773,2215476,2018/2/23,indietronica,Pop
Frank Ocean ,Moon River,8,0,53,0,479739,2214742,2014/7/11,lgbtq+ hip hop,Hip Hop
ScHoolboy Q ,Dope Dealer,14,0,103,0,208946,2213748,2013/9/29,gangster rap,Hip Hop
J Balvin ,Amarillo,7,0,41,0,550721,2212416,1982/1/1,reggaeton,Latin
Snoop Dogg ,"Young, Wild & Free",22,0,90,0,249361,2211964,2011/10/11,g funk,Hip Hop
NLE Choppa ,Forever,7,0,54,0,470098,2211200,2009/1/1,memphis hip hop,Hip Hop
Bryson Tiller ,Right My Wrongs,22,0,137,0,117723,2210850,2015/10/2,kentucky hip hop,Hip Hop
Young Thug ,Just How It Is,7,0,28,0,601234,2210566,2019/8/16,atl hip hop,Hip Hop
Dr. Dre ,Gospel,8,0,94,0,293211,2210228,2012/8/12,g funk,Hip Hop
Lana Del Rey ,Venice Bitch,8,0,85,0,400048,2209921,2019/8/30,art pop,Pop
Rita Ora ,Poison,22,0,77,0,135576,2209716,2024/1/5,dance pop,Pop
Lou Monte ,Dominick the Donkey (The Italian Christmas Donkey),5,0,102,0,635600,2208364,2018/10/19,novelty,Rock
BTS ,Dream Glow (BTS World Original Soundtrack)  Pt. 1,7,0,35,0,583299,2207631,2019/6/7,k-pop,Pop
Tony Bennett ,My Favourite Things,5,0,85,0,639699,2205229,1968/10/6,adult standards,Easy listening
Don McLean ,American Pie,9,0,85,0,327664,2204770,1971,classic rock,Rock
DaBaby ,NO DRIBBLE,8,0,99,0,357023,2203045,2022/7/29,hip hop,Hip Hop
Lucky Daye ,Over,9,0,117,0,263179,2202583,2021/7/14,alternative r&b,R&B
Justin Bieber ,Take It Out On Me,6,0,38,0,682028,2201587,2009,canadian pop,Pop
Rita Ora ,Body on Me,25,0,118,0,99552,2200450,2022/8/26,dance pop,Pop
Journey ,Separate Ways (Worlds Apart)  Bryce Miller/Alloy Tracks Remix,8,0,81,0,299570,2199475,2022/4/12,album rock,Rock
Ozuna ,Unica,9,0,99,0,301274,2192048,2018/8/24,puerto rican pop,Pop
J. Cole ,Hello,24,0,45,0,188006,2187082,2015/11/20,conscious hip hop,Hip Hop
OB OBrien ,Schemin Up,30,0,66,0,123143,2186414,2014/12/15,,undefined
Kendrick Lamar ,Hood Politics,7,0,14,0,426009,2185585,2015/3/16,conscious hip hop,Hip Hop
Tiësto ,Ritual,9,0,98,0,352445,2185556,2010,big room,Electronic
Normani ,Checklist,8,0,60,0,494615,2183759,2019/11/1,pop,Pop
Polo G ,Boom,6,0,34,0,672553,2183686,2016/6/4,chicago rap,Hip Hop
Gucci Mane ,Stunting Ain't Nuthin,8,0,75,0,313741,2180560,2017/10/13,atl hip hop,Hip Hop
Bryson Tiller ,Rambo,21,0,152,0,129604,2179723,2015/10/2,kentucky hip hop,Hip Hop
YoungBoy Never Broke Again ,Head On,9,0,123,0,279097,2178511,2002/6/11,baton rouge rap,Hip Hop
2 Chainz ,Momma I Hit A Lick,6,0,50,0,604918,2177919,2019/3/1,atl hip hop,Hip Hop
Mac Miller ,Perfecto,8,0,75,0,393046,2177829,2021/1/22,hip hop,Hip Hop
Morgan Wallen ,"Rednecks, Red Letters, Red Dirt",7,0,45,0,487349,2177350,2021/1/8,contemporary country,Country
Lil Yachty ,TALK TO ME NICE,7,0,46,0,563596,2176127,2023/9/8,atl hip hop,Hip Hop
Ed Sheeran ,I Don't Want Your Money,7,0,58,0,468100,2175662,2019/7/12,pop,Pop
YoungBoy Never Broke Again ,Lil Top,8,0,73,0,434744,2175474,2020/2/21,baton rouge rap,Hip Hop
Aminé ,Woodlawn,7,0,41,0,489898,2175285,2020/8/7,pop rap,Hip Hop
Justin Bieber ,Changes,6,0,45,0,635784,2174075,2018/3/16,canadian pop,Pop
Future ,Million Dollar Play,6,0,18,0,720598,2172825,2020/11/13,atl hip hop,Hip Hop
Summer Walker ,Ex For A Reason,6,0,20,0,666313,2171635,2021/11/5,r&b,R&B
Trippie Redd ,Together,6,0,24,0,694398,2170668,1987/11/12,melodic rap,Hip Hop
Kate Havnevik ,Winter Wonderland,25,0,24,0,206857,2166063,2012/11/9,deep acoustic pop,Pop
Luke Combs ,Cold As You,8,0,23,0,592181,2165416,2006/10/24,contemporary country,Country
Joji ,Like You Do,7,0,64,0,439400,2164265,2020/9/24,viral pop,Pop
BTS ,The Truth Untold,7,0,70,0,400378,2162860,2018/5/18,k-pop,Pop
Huncho Jack ,Where U From,7,0,32,0,652979,2161589,2017/12/21,melodic rap,Hip Hop
Dreamville ,LamboTruck,6,0,27,0,615549,2160815,2019/7/5,hip hop,Hip Hop
The Cranberries ,Zombie,8,0,72,0,346258,2160463,1994/10/3,irish rock,Rock
Steve Aoki ,I Love It When You Cry (Moxoki),24,0,65,0,141755,2159941,2015/5/11,edm,Electronic
Ed Sheeran ,Nothing On You,7,0,59,0,464418,2158882,2010/4/27,pop,Pop
Juice WRLD ,Demonz,6,0,38,0,702942,2156759,2019/3/8,chicago rap,Hip Hop
Sech ,911,8,0,37,0,424604,2154342,2017/7/21,panamanian pop,Pop
Billie Eilish ,Not My Responsibility,6,0,36,0,601628,2153818,2021/7/30,art pop,Pop
Dua Lipa ,Hallucinate,7,0,38,0,489617,2152025,2020/3/27,dance pop,Pop
The Chainsmokers ,Young,8,0,65,0,386532,2150843,2015/3/4,pop,Pop
Dream ,Change My Clothes,7,0,46,0,503408,2150342,2021/8/20,metal,Metal
Eminem ,Chloraseptic,6,0,24,0,643116,2149075,2018/1/8,detroit hip hop,Hip Hop
Glass Animals ,Tangerine,7,0,44,0,485438,2146609,2023/5/26,gauze pop,Pop
DaBaby ,SAD SH*T,5,0,16,0,872789,2145039,2020/4/17,hip hop,Hip Hop
Justin Timberlake ,Mirrors,37,0,120,0,226513,2144474,2013/3/15,dance pop,Pop
Future ,PIE,10,0,76,0,329923,2144136,2017/7/27,atl hip hop,Hip Hop
Gucci Mane ,Love Thru The Computer,6,0,49,0,507041,2140943,2019/6/21,atl hip hop,Hip Hop
Lil Yachty ,SaintLaurentYSL,7,0,71,0,507248,2139362,2018/10/19,atl hip hop,Hip Hop
Meek Mill ,Championships,6,0,72,0,479489,2138638,2018/11/29,hip hop,Hip Hop
Big Sean ,Sunday Morning Jetpack,8,0,55,0,394591,2137122,2017/2/3,detroit hip hop,Hip Hop
Migos ,Crown the Kings,6,0,33,0,722282,2134697,2018/1/26,atl hip hop,Hip Hop
Isaiah Rashad ,Lay Wit Ya,7,0,32,0,503084,2134267,2023/12/20,hip hop,Hip Hop
Dream ,Roadtrip,8,0,67,0,357066,2133913,2021/2/5,metal,Metal
Justin Bieber ,E.T.A.,6,0,47,0,630430,2133523,2020/2/14,canadian pop,Pop
Meek Mill ,Pay You Back,6,0,80,0,470580,2133310,2018/11/30,hip hop,Hip Hop
Anuel AA ,Keii,7,0,62,0,448916,2133133,2020/2/7,reggaeton,Latin
Trippie Redd ,Love Sick,6,0,25,0,665638,2132838,2019/11/22,melodic rap,Hip Hop
G Herbo ,Cry No More,9,0,88,0,337041,2129485,2021/7/2,chicago drill,Hip Hop
Ed Sheeran ,Way To Break My Heart,7,0,57,0,472488,2127521,2019/7/12,pop,Pop
Khalid ,Last Call,7,0,25,0,510492,2126895,2004/2/10,pop,Pop
Miley Cyrus ,Heart Of Glass (Live from the iHeart Festival),8,0,107,0,305278,2125722,2020/11/27,pop,Pop
Travis Scott ,through the late night,17,0,184,0,138386,2124708,2016/9/16,hip hop,Hip Hop
Lil Baby ,No Sucker,6,0,49,0,577277,2123885,2020/5/1,atl hip hop,Hip Hop
Dream ,Mask,7,0,64,0,457123,2123680,2017/6/30,metal,Metal
Taylor Swift ,Change (Taylor’s Version),5,0,31,0,829637,2123582,2021/4/9,pop,Pop
BTS ,Airplane pt.2,8,0,82,0,363290,2122388,2018/5/18,k-pop,Pop
Machine Gun Kelly ,kiss kiss,7,0,45,0,507505,2118379,2007/11/6,ohio hip hop,Hip Hop
Linkin Park ,What I've Done,8,0,35,0,565438,2117202,2007/5/14,alternative metal,Metal
Machine Gun Kelly ,title track,7,0,41,0,526000,2116954,2020/9/25,ohio hip hop,Hip Hop
Gucci Mane ,Potential,7,0,65,0,419943,2113555,2007/1/1,atl hip hop,Hip Hop
Brent Faiyaz ,ROLLING STONE,6,0,27,0,614657,2111962,2022/7/8,r&b,R&B
Nick Jonas ,Bom Bidi Bom,11,0,128,0,219820,2111836,2017/2/10,dance pop,Pop
Childish Gambino ,California,7,0,19,0,645646,2111643,2010/1/1,atl hip hop,Hip Hop
Frank Sinatra ,Santa Claus Is Comin' to Town,4,0,75,0,833122,2107540,1981,adult standards,Easy listening
Kehlani ,Toxic,7,0,31,0,577668,2106960,2022/5/6,pop,Pop
Meek Mill ,Splash Warning,6,0,74,0,503701,2100390,2018/11/30,hip hop,Hip Hop
blink,182  EDGING,5,0,13,0,815190,2099931,2023/10/20,alternative metal,Metal
The 1975 ,It's Not Living (If It's Not With You),8,0,109,0,357004,2097959,2018/11/30,modern alternative rock,Rock
Sam Smith ,HIM,8,0,82,0,319230,2096196,2014/12/9,pop,Pop
Bad Bunny ,Estamos Bien,9,0,100,0,339029,2095240,2018/12/23,reggaeton,Latin
Bruno Mars ,Silk Sonic Intro,5,0,49,0,749051,2093817,2021/11/12,dance pop,Pop
Tame Impala ,Patience,6,0,23,0,678171,2091564,1987/7/21,australian psych,Metal
Wale ,Colombia Heights (Te Llamo),10,0,121,0,240613,2091418,2017/4/28,pop rap,Hip Hop
Gunna ,idk that bitch,6,0,39,0,591350,2091246,2022/1/13,atl hip hop,Hip Hop
Coi Leray ,Blick Blick,7,0,34,0,447002,2090850,2022/3/18,new jersey underground rap,Hip Hop
Gerry Rafferty ,Right Down the Line,9,0,154,0,241939,2090141,1978,art rock,Rock
Chase Atlantic ,Swim,9,0,169,0,239063,2090134,2017/10/4,alternative r&b,R&B
Yo Gotti ,Pose,7,0,75,0,392230,2089849,2008/8/12,dirty south rap,Hip Hop
Lil Peep ,Benz Truck  гелик,8,0,53,0,389841,2088883,2017/8/15,cloud rap,Hip Hop
Taylor Swift ,Jump Then Fall (Taylor’s Version),5,0,33,0,802075,2088283,2021/4/9,pop,Pop
The Kid LAROI ,MAYBE,8,0,113,0,357638,2087107,2021/7/27,australian hip hop,Hip Hop
Trippie Redd ,Elevate & Motivate,7,0,59,0,527860,2083330,2018/11/9,melodic rap,Hip Hop
Logic ,Ordinary Day (ft. Hailee Steinfeld),6,0,64,0,589398,2083319,2018/9/28,conscious hip hop,Hip Hop
BTS ,IDOL,7,0,69,0,367625,2081997,2023/4/12,k-pop,Pop
Kendrick Lamar ,For Free?  Interlude,7,0,11,0,467375,2081855,2015/3/16,conscious hip hop,Hip Hop
"Tyler, The Creator ",I Ain't Got Time!,8,0,55,0,452255,2078217,2017/7/21,hip hop,Hip Hop
Billy Currington ,It Don't Hurt Like It Used To,17,0,169,0,133375,2078169,2015/6/2,contemporary country,Country
2 Chainz ,OG Kush Diet,8,0,71,0,340248,2078061,2017/6/16,atl hip hop,Hip Hop
5 Seconds of Summer ,Jet Black Heart,18,0,59,0,213685,2077756,2015/10/23,boy band,Pop
Nicki Minaj ,Chun Swae,7,0,62,0,427651,2077103,2018/8/10,hip pop,Pop
Ty Dolla $ign ,Expensive,7,0,38,0,497781,2077023,2023/9/15,hip hop,Hip Hop
Logic ,AfricAryaN,7,0,45,0,560819,2076397,2017/5/5,conscious hip hop,Hip Hop
Brent Faiyaz ,ADDICTIONS (FEAT. Tre' Amani),6,0,33,0,554821,2076297,2022/7/8,r&b,R&B
Major Lazer ,Que Calor,8,0,62,0,433468,2075588,2009/6/13,dance pop,Pop
EST Gee ,Backstage Passes,8,0,125,0,306431,2073476,2022/9/16,kentucky hip hop,Hip Hop
Meek Mill ,Almost Slipped,6,0,78,0,476138,2073431,2018/11/30,hip hop,Hip Hop
Future ,Lookin Exotic,8,0,57,0,392879,2073295,2017/7/27,atl hip hop,Hip Hop
21 Savage ,Intro,4,0,14,0,1076774,2072620,2020/9/2,atl hip hop,Hip Hop
"Tyler, The Creator ",Where This Flower Blooms,8,0,56,0,448953,2069545,2017/7/21,hip hop,Hip Hop
Becky G ,Can't Stop Dancin',33,0,121,0,85052,2068223,2014/11/4,latin pop,Pop
G,Eazy  You Got Me,15,0,71,0,173874,2067621,2015/12/4,indie pop rap,Hip Hop
Carrie Underwood ,Heartbeat,19,0,142,0,127853,2065879,2011/11/15,classic oklahoma country,Country
Offset ,Wild Wild West,6,0,53,0,570361,2065567,1999/11/16,atl hip hop,Hip Hop
21 Savage ,Darth Vader,7,0,56,0,453320,2064672,1980/1/1,atl hip hop,Hip Hop
A$AP Rocky ,Distorted Records,5,0,12,0,910626,2063682,2018/5/25,east coast hip hop,Hip Hop
Jonas Brothers ,Burnin' Up,6,0,43,0,630716,2062579,2008/8/12,boy band,Pop
Twenty One Pilots ,Pet Cheetah,7,0,94,0,434512,2062574,2018/10/5,modern rock,Rock
blackbear ,if i were u,7,0,29,0,526181,2060321,2020/8/21,pop,Pop
Future ,4 da Gang,8,0,79,0,321115,2059361,2017/10/20,atl hip hop,Hip Hop
Twenty One Pilots ,Cut My Lip,7,0,93,0,445116,2059167,2018/10/5,modern rock,Rock
Meek Mill ,Dreams and Nightmares,8,0,60,0,365692,2058948,2012/10/26,hip hop,Hip Hop
Meek Mill ,Otherside Of America,8,0,59,0,373322,2058333,2020/6/5,hip hop,Hip Hop
Lil Baby ,Frozen,7,0,54,0,439967,2057976,2013/1/1,atl hip hop,Hip Hop
Playboi Carti ,Place,6,0,58,0,645765,2057814,2020/12/25,atl hip hop,Hip Hop
Lil Baby ,Deep End (Lil Baby & Gunna),6,0,36,0,720781,2056220,2018/10/5,atl hip hop,Hip Hop
Jack Harlow ,Poison,5,0,42,0,697954,2054805,2024/1/5,deep underground hip hop,Hip Hop
A$AP Rocky ,Gunz N Butter,6,0,32,0,712195,2047735,2018/5/25,east coast hip hop,Hip Hop
Russ ,Seduce,9,0,105,0,268450,2047526,2021/9/24,hawaiian hip hop,Hip Hop
Solange ,Cranes in the Sky,13,0,95,0,202412,2047379,2016/9/30,afrofuturism,R&B
Gunna ,BLINDFOLD,6,0,31,0,632741,2046649,2020/5/22,atl hip hop,Hip Hop
Fall Out Boy ,The Kids Aren't Alright,27,0,51,0,141859,2046523,1998/11/16,emo,Rock
Machine Gun Kelly ,lonely,7,0,56,0,462287,2046294,2006/1/1,ohio hip hop,Hip Hop
Lil Skies ,Stop The Madness,7,0,69,0,452619,2045865,2019/3/1,melodic rap,Hip Hop
Eminem ,Nowhere Fast,7,0,58,0,468297,2044561,1999/10/26,detroit hip hop,Hip Hop
Thomas Rhett ,Leave Right Now,8,0,54,0,465021,2044208,2017/9/8,contemporary country,Country
A$AP Ferg ,Jet Lag,7,0,70,0,388537,2040309,2011/6/17,hip hop,Hip Hop
Panic! At The Disco ,King Of The Clouds,7,0,62,0,451669,2040171,2018/6/22,modern rock,Rock
Migos ,All Ass,9,0,65,0,339568,2035600,2017/1/27,atl hip hop,Hip Hop
Nas ,Not For Radio,5,0,31,0,622764,2031585,2018/6/15,conscious hip hop,Hip Hop
Post Malone ,Waiting For A Miracle,5,0,35,0,677249,2031363,2022/6/3,dfw rap,Hip Hop
Kendrick Lamar ,untitled 01 08.19.2014.,4,1,6,0,889747,2030622,2016/3/4,conscious hip hop,Hip Hop
Kendrick Lamar ,"Bitch, Don’t Kill My Vibe",28,0,139,0,230740,2028986,2012,conscious hip hop,Hip Hop
The Neighbourhood ,You Get Me So High,9,0,172,0,231712,2028203,2018/11/2,modern alternative rock,Rock
Taylor Swift ,Bye Bye Baby (Taylor’s Version) (From The Vault),5,0,37,0,761829,2028184,2021/4/9,pop,Pop
A Tribe Called Quest ,Whateva Will Be,13,0,92,0,211373,2025526,2016/11/11,conscious hip hop,Hip Hop
Destiny's Child ,"Bills, Bills, Bills",10,0,187,0,214577,2022210,1999/7/27,dance pop,Pop
Tinashe ,Pretend,35,0,105,0,73400,2021457,2023/7/9,alternative r&b,R&B
J. Cole ,False Prophets,7,0,38,0,436916,2021195,2016/12/6,conscious hip hop,Hip Hop
Logic ,Mos Definitely,7,0,44,0,565931,2020307,2017/5/5,conscious hip hop,Hip Hop
Sugarland ,Babe,8,0,128,0,315981,2019646,2021/11/12,contemporary country,Country
Khalid ,Present,7,0,37,0,474047,2018988,2021/10/29,pop,Pop
XXXTENTACION ,Riot,7,0,57,0,392672,2017406,2020/6/1,emo rap,Hip Hop
Taylor Swift ,Forever & Always (Piano Version) (Taylor’s Version),5,0,36,0,763166,2016184,2021/4/9,pop,Pop
88,Keys  That's Life,6,0,24,0,689929,2015517,2019/6/20,asian american hip hop,Hip Hop
Brantley Gilbert ,One Hell Of An Amen,26,0,155,0,87060,2013710,2014/1/1,contemporary country,Country
Trippie Redd ,Fire Starter,6,0,41,0,642065,2013644,2018/11/9,melodic rap,Hip Hop
Lana Del Rey ,Love song,7,0,73,0,438730,2013491,2019/11/15,art pop,Pop
Future ,Stick Talk,19,0,91,0,146984,2013381,2015/7/17,atl hip hop,Hip Hop
Harry Styles ,Only Angel,8,0,57,0,481918,2013162,2017/5/12,pop,Pop
Belly ,"Belly, The Weeknd  Die For It (ft. Nas)",7,0,34,0,496501,2012875,2021/8/27,canadian hip hop,Hip Hop
Saweetie ,Back to the Streets,7,0,44,0,432340,2010725,2020/10/23,cali rap,Hip Hop
J. Cole ,St. Tropez,20,0,37,0,201231,2010639,2023/6/13,conscious hip hop,Hip Hop
Kelsea Ballerini ,Better Luck Next Time,9,0,154,0,245665,2010553,2019/6/11,contemporary country,Country
Migos ,Out Yo Way,8,0,71,0,321971,2010431,2017/1/27,atl hip hop,Hip Hop
Juice WRLD ,Desire,6,0,58,0,569130,2008077,2015/9/18,chicago rap,Hip Hop
Camila Cabello ,In the Dark,7,0,44,0,516898,2007894,2021/9/3,dance pop,Pop
Lil Baby ,2040,6,0,33,0,583200,2007520,2021/6/4,atl hip hop,Hip Hop
Meek Mill ,Intro (Hate On Me),6,0,27,0,567168,2006215,2021/10/1,hip hop,Hip Hop
Megan Thee Stallion ,Movie,6,0,42,0,494508,2005113,2023/11/30,houston rap,Hip Hop
